Memorial Day,"Mon, May 28, 2018",
Independence Day,"Wed, Jul 4, 2018",
Labor Day,"Mon, Sep 3, 2018",
Thanksgiving,"Thu, Nov 22, 2018",
Christmas Day,"Tue, Dec 25, 2018",
New Year's Day,"Tue, Jan 1, 2019",
Memorial Day,"Mon, May 27, 2019",
Independence Day,"Thu, Jul 4, 2019",
Labor Day,"Mon, Sep 2, 2019",
Thanksgiving,"Thu, Nov 28, 2019",
Christmas Day,"Wed, Dec 25, 2019",
New Year's Day,"Wed, Jan 1, 2020",
Memorial Day,"Mon, May 25, 2020",
Independence Day,"Fri, Jul 3, 2020",
Labor Day,"Mon, Sep 7, 2020",
Thanksgiving,"Thu, Nov 26, 2020",
Christmas Day,"Fri, Dec 25, 2020",
